"REF_DATE","GEO","DGUID","Type of fuel","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991-04","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","60.1","","","","1"
"1991-05","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","56.5","","","","1"
"1991-06","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","56.6","","","","1"
"1991-07","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","55.6","","","","1"
"1991-08","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","55.3","","","","1"
"1991-09","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","56.2","","","","1"
"1991-10","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","57.3","","","","1"
"1991-11","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","57.2","","","","1"
"1991-12","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","57.3","","","","1"
"1992-01","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","57.7","","","","1"
"1992-02","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","57.9","","","","1"
"1992-03","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","57.7","","","","1"
"1992-04","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","56.4","","","","1"
"1992-05","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","57.1","","","","1"
"1992-06","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","56.4","","","","1"
"1992-07","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","56.4","","","","1"
"1992-08","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","56.6","","","","1"
