,,,,,,,,,,,,,
List of Alberta Snowfly Elements in the ACIMS Database - June 2022,,,,,,,,,,,,,
,"Please note:  Elements may be tracked at the species or subspecies/variety level, so be sure to check both the species and infraspecies for tracking status.",,,,,,,,,,,,
Alberta,Invertebrate Animal,IIPLE18030,Chloroperlidae,Suwallia lineosa,lined sallfly,Suwallia lineosa,Lined Sallfly,SU,NU,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE18050,Chloroperlidae,Suwallia pallidula,yellow sallfly,Suwallia pallidula,Yellow Sallfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE18080,Chloroperlidae,Suwallia forcipata,forceps sallfly,Suwallia forcipata,Forceps Sallfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE18090,Chloroperlidae,Suwallia starki,gallatin sallfly,Suwallia starki,Gallatin Sallfly,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE19020,Chloroperlidae,Gaufinia albertensis,Alberta sallfly,Gaufinia albertensis,Alberta Sallfly,SU,NU,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE19030,Chloroperlidae,Sweltsa borealis,boreal sallfly,Sweltsa borealis,Boreal Sallfly,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE19050,Chloroperlidae,Sweltsa coloradensis,Colorado sallfly,Sweltsa coloradensis,Colorado Sallfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE19090,Chloroperlidae,Sweltsa fidelis,mountain sallfly,Sweltsa fidelis,Mountain Sallfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE19220,Chloroperlidae,Sweltsa revelstoka,Canadian sallfly,Sweltsa revelstoka,Canadian Sallfly,SU,NU,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE1A020,Chloroperlidae,Triznaka signata,striped sallfly,Triznaka signata,Striped Sallfly,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE1B010,Chloroperlidae,Kathroperla perdita,longhead sallfly,Kathroperla perdita,Longhead Sallfly,SU,N4N5,G4G5,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE1C010,Chloroperlidae,Paraperla frontalis,hyporheic sallfly,Paraperla frontalis,Hyporheic Sallfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE1C020,Chloroperlidae,Paraperla wilsoni,Chilliwack sallfly,Paraperla wilsoni,Chilliwack Sallfly,SU,N4N5,G4G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE1D020,Chloroperlidae,Utaperla sopladora,black sallfly,Utaperla sopladora,Black Sallfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE1K010,Peltoperlidae,Yoraperla brevis,least roachfly,Yoraperla brevis,Least Roachfly,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE1K020,Peltoperlidae,Yoraperla mariana,brown roachfly,Yoraperla mariana,Brown Roachfly,SU,NU,G4,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE1L010,Perlidae,Acroneuria abnormis,common stonefly,Acroneuria abnormis,Common Stone,SU,NU,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE1L120,Perlidae,Acroneuria lycorias,boreal stonefly,Acroneuria lycorias,Boreal Stone,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE1P010,Perlidae,Calineuria californica,western stonefly,Calineuria californica,Western Stone,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE1Q020,Perlidae,Doroneuria theodora,Montana stonefly,Doroneuria theodora,Montana Stone,SU,NU,G4,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE1T020,Perlidae,Hesperoperla pacifica,golden stonefly,Hesperoperla pacifica,Golden Stone,S4S5,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE1Z010,Perlidae,Claassenia sabulosa,shortwing stonefly,Claassenia sabulosa,Shortwing Stonefly,S4S5,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE24130,Perlodidae,Isoperla decolorata,bearlake stripetail,Isoperla decolorata,Bear Lake Stripetail,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE24210,Perlodidae,Isoperla fulva,western stripetail,Isoperla fulva,Western Stripetail,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE24220,Perlodidae,Isoperla fusca,Waterton stripetail,Isoperla fusca,Waterton Stripetail,SU,N3N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE24300,Perlodidae,Isoperla longiseta,plains stripetail,Isoperla longiseta,Plains Stripetail,SU,NU,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE24420,Perlodidae,Isoperla petersoni,springs stripetail,Isoperla petersoni,Springs Stripetail,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE24450,Perlodidae,Isoperla pinta,checkered stripetail,Isoperla pinta,Checkered Stripetail,SU,NU,G4,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE24460,Perlodidae,Isoperla quinquepunctata,fivespot stripetail,Isoperla quinquepunctata,Fivespot Stripetail,SU,NU,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE24540,Perlodidae,Isoperla sobria,Colorado stripetail,Isoperla sobria,Colorado Stripetail,SU,N4N5,G5,Native,Present,Do not track
