"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","76700","A","","","0"
"2014","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","79900","B","","","0"
"2015","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","81000","B","","","0"
"2016","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","69500","B","","","0"
"2017","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","72800","A","","","0"
"2018","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","72600","B","","","0"
"2019","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","70000","B","","","0"
"2020","Alberta","2016A000248","16 years and over","Males","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680732","12.1.2.1.4","68700","A","","","0"
"1990","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","46000","","","","0"
"1991","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","45200","","","","0"
"1992","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","42600","","","","0"
"1993","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","42400","A","","","0"
"1994","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","42800","A","","","0"
"1995","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","43200","A","","","0"
"1996","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","42900","A","","","0"
"1997","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","44400","A","","","0"
"1998","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","45000","B","","","0"
"1999","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","45600","B","","","0"
"2000","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","46500","B","","","0"
"2001","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","48800","A","","","0"
"2002","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","48200","A","","","0"
"2003","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","48200","A","","","0"
"2004","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","50000","A","","","0"
"2005","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","49600","A","","","0"
"2006","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","52700","A","","","0"
"2007","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","56800","B","","","0"
