"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","43300","","","","0"
"1991","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","43500","","","","0"
"1992","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","41700","","","","0"
"1993","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","40700","A","","","0"
"1994","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","40700","A","","","0"
"1995","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","40700","A","","","0"
"1996","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","40800","A","","","0"
"1997","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","43700","A","","","0"
"1998","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","44900","B","","","0"
"1999","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","44000","A","","","0"
"2000","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","45700","A","","","0"
"2001","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","47900","A","","","0"
"2002","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","46800","A","","","0"
"2003","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","47800","A","","","0"
"2004","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","49600","A","","","0"
"2005","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","51400","A","","","0"
"2006","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","53700","A","","","0"
"2007","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","56800","A","","","0"
"2008","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","57300","A","","","0"
"2009","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","57300","A","","","0"
"2010","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","57800","A","","","0"
"2011","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","59200","A","","","0"
"2012","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","62100","A","","","0"
"2013","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","62000","A","","","0"
"2014","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","63100","A","","","0"
"2015","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","64000","A","","","0"
"2016","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","57700","A","","","0"
"2017","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","59900","A","","","0"
"2018","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","59400","A","","","0"
"2019","Alberta","2016A000248","16 years and over","Both sexes","Total income","Average income (excluding zeros)","2021 constant dollars","429","units","0","v107680657","12.1.1.1.4","58700","A","","","0"
