"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","25000","B","","","0"
"2001","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","26800","A","","","0"
"2002","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","26000","B","","","0"
"2003","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","26200","A","","","0"
"2004","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","27300","A","","","0"
"2005","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","28500","B","","","0"
"2006","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","29500","B","","","0"
"2007","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","30900","B","","","0"
"2008","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","32200","B","","","0"
"2009","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","32300","B","","","0"
"2010","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","31500","B","","","0"
"2011","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","33700","B","","","0"
"2012","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","35100","B","","","0"
"2013","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","34100","B","","","0"
"2014","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","33800","B","","","0"
"2015","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","35900","B","","","0"
"2016","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","35300","B","","","0"
"2017","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","35800","B","","","0"
"2018","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","36000","A","","","0"
"2019","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","37800","B","","","0"
"2020","Alberta","2016A000248","16 years and over","Females","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680808","12.1.3.1.5","36400","B","","","0"


